,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8
AdrActCnt,0.21021355711532572,0.2541386843856807,0.03657891205314126,0.00625295944535014,-0.009969326872400423,-0.17308040033570016,0.07900471339277283,-0.07898278923150133
AdrBalCnt,0.2553037986585488,0.027649321344144554,-0.004550798573515479,0.03318448841553888,-0.0055338598110790185,-0.16211408291789528,0.07784693877242121,0.0031301624716887386
AssetCompletionTime,0.22689665964648892,-0.19876845138679802,0.002606298724836675,-0.013138717993440205,-0.0015362715515372756,0.04518398689455998,-0.018556164105710097,0.11439520838661173
AssetEODCompletionTime,0.226896659646489,-0.19876845138679788,0.0026062987248365015,-0.013138717993440173,-0.001536271551537052,0.04518398689456002,-0.018556164105710007,0.11439520838661235
BlkCnt,-0.032053849857636214,-0.01503823951343996,0.2582733332793555,-0.30777276813978854,-0.0757490559847605,-0.1388338609580892,0.23986292370700715,0.5031988207298561
CapMVRVCur,-0.01609329057833571,-0.08595239842178695,0.2121205214542126,-0.1370445018202989,-0.1857668156435833,-0.04561228421963414,-0.028497845646343407,-0.03201193749295384
CapMrktCurUSD,0.23987198149578415,-0.2008348887712856,0.018981965740394485,-0.0231441495424545,-0.027529229536342875,0.07460388382177281,-0.012830435139533062,-0.0027090785793327057
FeeTotNtv,0.025114881702060752,0.28653004782523206,0.14962447197339787,-0.0955708099549177,-0.15532902204609755,0.051880976197615405,0.056903800424832084,-0.2238296053452697
FlowInExNtv,0.05419751247488496,0.38272407649640267,0.08411520751529855,-0.11324054842257787,-0.09448552486224672,0.43410731612755676,-0.1304216107423771,0.08088120581003799
FlowInExUSD,0.2249977724515034,-0.1455336201753574,0.05396333199569882,-0.08547325918012597,-0.056612003713955104,0.25102175341144367,-0.05089374018688963,-0.08746081257636473
FlowOutExNtv,0.06764941877372221,0.3700870563303738,0.08833493735826319,-0.09502796738687722,-0.09442393912195081,0.45015362553261823,-0.12617172674691557,0.09009327974725945
FlowOutExUSD,0.2195934660064258,-0.15103958455460292,0.05423808797549829,-0.0748191052215124,-0.06402135960485007,0.26779491556818896,-0.05886507120952137,-0.07258438636351909
HashRate,0.23551994656185654,-0.19072416098276168,0.015096119651928254,-0.039380883070169424,0.02302012335367039,0.036535471541158764,-0.008384815683956067,0.0990393492516356
IssTotNtv,-0.20385891401648346,-0.21798078063621706,0.10539429282133414,-0.1554183436019518,-0.048826535352237806,0.07905302621416974,0.029189559440595203,0.19413299924496688
IssTotUSD,0.2347344012624812,-0.09661725530498654,0.02634070898153322,-0.022799793046590078,0.008873364006210076,-0.08429978150247533,0.04266147759787102,-0.11672573263157851
PriceBTC,-1.2037062152420224e-35,2.5849394142282115e-26,0.0,-0.0,3.469446951953614e-18,6.938893903907228e-18,2.220446049250313e-16,2.3869795029440866e-15
PriceUSD,0.24063299293150778,-0.19689002242829545,0.01877510198633616,-0.021812544989243357,-0.027758004295754708,0.06899901399045341,-0.0108022666478824,-0.011450724948180809
ROI1yr,-0.05517778486390952,-0.06905169316296476,0.03667890531464791,-0.09793021880450552,-0.08175428682385531,0.12126588179571754,0.5674145145994608,-0.3403031330510774
ROI30d,-0.045277604133521776,-0.05215540060401965,0.43606155992904466,-0.13932933287200375,-0.2852125713296164,-0.1808566903795393,-0.1423286459826926,-0.05744384491202698
SplyCur,0.20958449745737665,0.2518837189402685,0.020022368515576823,0.02031912025067992,-0.035331244855817234,-0.13870118351586697,0.1378566560084085,0.11875256113272495
SplyExNtv,0.2519502744202674,0.03874224855688589,-0.014661301307527144,0.032095527157396914,-0.002550683813678159,-0.11217643865311792,0.06673146821102804,0.04654316761224897
SplyExUSD,0.22612689737743863,-0.22528179811815643,0.01857732857058536,-0.03251949631138719,-0.027647977230319823,0.13042993901462457,-0.032758320429797434,0.04278874610682965
SplyExpFut10yr,0.20712066473205476,0.2492223807598109,0.02498229883478769,0.015492564215744315,-0.040092288591743575,-0.14096859969293432,0.14973097865746365,0.12138761873875827
TxCnt,0.23279882233103902,0.14287407488776016,0.044927599266561945,-0.023679792869388507,0.033161206456490636,-0.1401923494331693,0.035339006595509696,0.05975628397064196
TxTfrCnt,0.23207890530708308,0.19883073265012638,0.04100343654862608,-0.009754679757004666,0.015114567169210497,-0.15840725595216668,0.054316651230043506,0.005251124460279267
volume_reported_spot_usd_1d,0.20812596226536795,-0.07204158147002553,0.03192413614899669,-0.05934219875499306,-0.050650684509291305,0.0998988666683153,0.014226748521896187,-0.1835101673485802
log_ret_1d,-0.009311119129949584,-0.023542281787919353,0.48859846246417654,0.43857426448689096,0.20938096328547176,0.07411906682730834,0.03408737383129847,-0.014252518021351218
vol_30d,-0.09563960518849372,-0.05177163073902971,0.176882523095463,-0.18456866443143186,-0.20273590612512427,0.027832617141657665,0.4579558967114456,-0.21148972208670355
btc_ret_lag1,-0.00832558159604186,-0.014333267034404748,0.11976640000327876,-0.06416764074012156,-0.07290705264945631,-0.21918612935728415,-0.25917941863476796,-0.3099563810835744
btc_ret_lag2,-0.007600248260457852,-0.008186566592739643,0.08958863081045737,-0.09826363711470204,-0.14239001630335485,-0.16293376212415367,-0.29350464033102663,-0.08355554106993127
btc_ret_lag3,-0.007735889813329232,-0.007439314874226659,0.09790291815823095,-0.06948668445907119,-0.1191895814903193,-0.07959537237122995,-0.15008430840149178,0.2506553983316323
btc_ret_lag5,-0.007527233769924494,-0.010243210707103238,0.1430305620592409,0.004888511412240004,-0.08209582263233313,-0.04418688230554008,-0.045951846613985686,0.09444795241543257
btc_ret_lag7,-0.007547690616998244,-0.007576031774184217,0.08183562745409018,-0.11543125700325765,-0.1398222877242519,-0.18572132464887608,-0.2723408820305962,-0.2910374846025856
btc_ret_lag14,-0.007220929532598035,-0.0017897368362226004,0.13815013713304744,-0.06455914491927449,-0.13288257737088274,-0.01112302825170584,-0.0945996256466598,0.12893958980171902
log_price,0.20998021748650184,0.09188195354562698,-0.08390025797781701,0.10780718830392894,0.056393741111507086,-0.11231466854786758,-0.04785201928159704,-0.15653001944949765
d_log_price,-0.009311119129949587,-0.023542281787919363,0.48859846246417643,0.4385742644868911,0.20938096328547184,0.07411906682730839,0.03408737383129859,-0.014252518021350837
d_TxCnt,0.005623391944867806,0.0357395789074151,0.12917072589325146,-0.3450661104363132,0.5130355720114639,-0.06038639213145741,-0.03181367899217248,-0.06446173574727937
d_HashRate,0.006010151863061679,0.008939548466547908,0.10027924827335773,-0.32838995680807875,0.46823339808379116,-0.12146635276492142,0.021279400744566253,0.027648719686926813
d_AdrActCnt,0.009067331352261091,0.040490295850390504,0.11200998593571337,-0.2907732237486649,0.33483945886074856,0.1835303874788669,-0.11389511332716055,-0.18576370293381564
